2024-07-06 11:27:02.211639;188;H=69;T=29;Hs=55.29035;sp=20;sf=12;rx_timestamp=2224099094; rssi=-112; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:28:04.707041;191;H=70;T=29;Hs=55.25472;sp=20;sf=7;rx_timestamp=2286594044; rssi=-112; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:28:27.648427;192;H=70;T=29;Hs=55.25472;sp=20;sf=12;rx_timestamp=2309635015; rssi=-118; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:29:30.241582;195;H=67;T=29;Hs=55.68223;sp=20;sf=7;rx_timestamp=2372128969; rssi=-121; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:31:19.253190;200;H=71;T=29;Hs=55.6466;sp=20;sf=12;rx_timestamp=2480732797; rssi=-126; snr=-11.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:45:15.699274;239;H=70;T=29;Hs=56.28786;sp=20;sf=7;rx_timestamp=3317264960; rssi=-124; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:45:38.236950;240;H=70;T=29;Hs=56.28786;sp=20;sf=12;rx_timestamp=3340307921; rssi=-116; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:46:43.226415;243;H=65;T=30;Hs=56.00285;sp=20;sf=7;rx_timestamp=3404896862; rssi=-121; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:47:05.668389;244;H=65;T=30;Hs=56.00285;sp=20;sf=12;rx_timestamp=3427939831; rssi=-116; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:49:57.245604;252;H=67;T=30;Hs=56.14535;sp=20;sf=12;rx_timestamp=3599012655; rssi=-123; snr=-8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:57:09.225322;272;H=67;T=30;Hs=56.57285;sp=20;sf=12;rx_timestamp=4030896277; rssi=-128; snr=-14.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:59:37.190169;279;H=65;T=30;Hs=57.10723;sp=20;sf=7;rx_timestamp=4178961138; rssi=-119; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
